client_id,birthdate,state,gender
cx12525,1932-04-19,st15,cg1
cx32280,1983-03-01,st15,cg1
cx00471,1964-08-30,st15,cg2
cx18876,1971-04-27,st15,cg2
cx38255,1958-01-26,st15,cg1
cx29500,1959-10-09,st15,cg2
cx37407,1977-03-12,st15,cg1
cx26218,1957-06-07,st15,cg2
cx21094,1985-05-25,st01,cg1
cx36051,1966-03-21,st25,cg2
cx38469,1976-09-09,st25,cg1
cx00609,1949-06-04,st25,cg1
cx08355,1964-06-26,st15,cg2
cx36165,1967-06-14,st25,cg1
cx15428,1961-05-29,st25,cg1
cx20077,1935-04-08,st15,cg2
cx26375,1967-09-26,st04,cg1
cx07439,1957-10-25,st15,cg2
cx33462,1964-07-02,st25,cg2
cx28170,1987-12-02,st15,cg1
cx21861,1982-04-19,st15,cg1
cx25320,1980-04-26,st15,cg1
cx04352,1981-04-25,st15,cg1
cx07853,1958-04-10,st15,cg2
cx19750,1983-04-29,st15,cg2
cx14866,1962-07-02,st15,cg2
cx34111,1943-12-06,st25,cg1
cx20311,1944-09-08,st15,cg1
cx00472,1962-02-08,st15,cg1
cx29281,1951-08-12,st25,cg1
cx38647,1961-01-25,st15,cg1
cx21522,1957-10-15,st15,cg1
cx21614,1956-01-25,st15,cg1
cx02650,1951-06-12,st15,cg1
cx00735,1963-08-10,st25,cg1
cx04161,1949-09-12,st15,cg1
cx34677,1958-09-10,st25,cg1
cx00551,1963-11-09,st15,cg1
cx12914,1971-01-04,st15,cg2
cx19753,1963-12-31,st25,cg1
cx24431,1966-06-21,st25,cg1
cx23683,1942-03-27,st25,cg1
cx15825,1948-07-18,st25,cg1
cx34517,1970-05-01,st15,cg2
cx30932,1961-12-11,st15,cg1
cx35042,1968-08-17,st15,cg2
cx21031,1966-10-07,st15,cg2
cx33224,1966-04-30,st15,cg1
cx25910,1972-04-09,st15,cg2
cx06073,1958-04-20,st15,cg1
cx25619,1944-11-20,st15,cg1
cx38285,1957-10-03,st25,cg2
cx30073,1971-07-22,st15,cg2
cx03716,1965-02-22,st15,cg1
cx15275,1964-02-13,st25,cg1
cx10027,1948-05-24,st15,cg1
cx19445,1947-07-11,st15,cg1
cx06380,1969-07-08,st15,cg2
cx02030,1961-06-20,st15,cg1
cx35109,1942-03-09,st25,cg1
cx37966,1956-03-08,st15,cg2
cx04944,1971-10-05,st15,cg1
cx04281,1952-07-27,st15,cg2
cx09288,1951-12-30,st15,cg1
cx07360,1956-05-02,st25,cg1
cx05882,1971-01-05,st15,cg2
cx00253,1964-08-29,st25,cg1
cx35757,1960-07-24,st15,cg2
cx34305,1956-07-28,st15,cg2
cx17894,1971-01-04,st15,cg2
cx32111,1957-11-16,st25,cg2
cx25198,1968-08-12,st25,cg1
cx03511,1946-04-26,st25,cg1
cx28177,1966-09-05,st15,cg2
cx02731,1956-05-18,st15,cg1
cx15051,1947-11-15,st15,cg1
cx09313,1956-08-23,st15,cg1
cx05200,1958-05-15,st25,cg1
cx08593,1966-03-22,st25,cg1
cx01468,1958-12-28,st25,cg1
cx35379,1963-09-09,st15,cg1
cx24021,1949-01-20,st15,cg1
cx38623,1952-10-09,st15,cg1
cx21115,1950-09-01,st15,cg2
cx15826,1957-12-18,st15,cg2
cx08846,1971-08-01,st25,cg1
cx22611,1988-06-03,st15,cg1
cx19825,1949-06-01,st25,cg2
cx01764,1960-04-12,st15,cg1
cx27450,1950-09-15,st15,cg1
cx02532,1969-12-09,st15,cg1
cx21128,1945-07-04,st15,cg1
cx32620,1999-02-14,st25,cg2
cx23002,1961-03-02,st15,cg1
cx11380,1966-01-13,st15,cg2
cx28030,1963-05-09,st25,cg2
cx29271,1974-02-28,st25,cg1
cx32960,1946-09-15,st15,cg1
cx34933,1953-12-16,st15,cg1
cx19601,1954-11-19,st15,cg1
cx38221,1956-06-22,st15,cg2
cx25110,1957-12-13,st15,cg1
cx14280,1955-07-24,st15,cg1
cx05947,1949-01-04,st15,cg1
cx26877,1975-07-07,st15,cg2
cx10242,1957-02-04,st25,cg1
cx30024,1965-04-19,st15,cg1
cx38587,1968-07-12,st15,cg1
cx37179,1948-05-23,st15,cg1
cx35352,1970-07-28,st25,cg1
cx30104,1951-07-28,st25,cg1
cx36990,1969-11-10,st15,cg1
cx02815,1961-11-10,st15,cg2
cx09993,1962-09-20,st15,cg1
