client_id,birthdate,state,gender,is_churn
cx05072,1972-03-22,st25,cg2,False
cx03836,1966-08-14,st15,cg1,False
cx08472,1954-08-07,st15,cg1,False
cx12946,1955-11-16,st15,cg1,False
cx19045,1958-10-25,st15,cg2,False
cx06182,1961-05-12,st15,cg1,False
cx29470,1950-03-14,st15,cg1,True
cx20280,1965-10-23,st15,cg1,True
cx19013,1942-03-28,st15,cg1,False
cx08351,1965-12-03,st15,cg2,False
cx25112,1962-12-14,st15,cg1,False
cx37032,1950-11-20,st15,cg1,True
cx10379,1961-07-17,st15,cg1,False
cx36349,1949-01-17,st15,cg2,False
cx19443,1966-08-30,st15,cg1,False
cx27555,1965-05-21,st15,cg2,True
cx20369,1945-04-21,st15,cg2,False
cx16442,1955-09-27,st15,cg2,False
cx18502,1960-11-29,st15,cg1,True
cx19808,1965-09-15,st15,cg2,False
cx23414,1968-09-26,st15,cg2,False
cx20437,1956-06-17,st15,cg1,False
cx17293,1960-10-24,st15,cg1,False
cx16180,1959-09-02,st15,cg2,False
cx05537,1953-10-08,st15,cg1,True
cx03270,1968-01-02,st25,cg2,False
cx19550,1959-06-16,st15,cg1,False
cx27223,1939-11-16,st25,cg1,False
cx27643,1938-07-06,st25,cg2,False
cx00725,1986-11-13,st25,cg2,True
cx31613,1953-06-30,st15,cg1,True
cx31314,1967-02-22,st15,cg1,False
cx36695,1956-05-15,st15,cg1,False
cx18135,1957-12-01,st25,cg1,True
cx35136,1952-10-11,st25,cg1,False
cx28763,1957-01-29,st25,cg2,False
cx28346,1988-02-03,st15,cg1,False
cx24360,1951-07-02,st25,cg1,False
cx16711,1986-06-12,st25,cg2,False
cx17826,1951-09-28,st25,cg1,False
cx00324,1947-01-09,st25,cg1,False
cx12785,1960-11-26,st15,cg2,False
cx07331,1986-10-28,st15,cg1,False
cx24442,1958-09-16,st25,cg1,False
cx31688,1955-08-26,st25,cg1,False
cx22893,1966-06-09,st15,cg1,False
cx18872,1945-09-18,st15,cg2,False
cx13145,1961-09-08,st15,cg1,True
cx34644,1953-03-31,st25,cg1,False
cx34317,1982-07-11,st04,cg1,True
cx37298,1952-02-02,st15,cg1,False
cx35110,1962-02-01,st15,cg1,False
cx35728,1946-12-20,st15,cg1,False
cx11675,1956-05-30,st04,cg2,False
cx34302,1986-05-19,st04,cg1,False
cx06747,1971-05-30,st04,cg1,False
cx15756,1985-03-15,st25,cg2,False
cx38383,1950-12-14,st25,cg1,False
cx17902,1966-01-03,st15,cg2,True
cx37222,1978-05-01,st04,cg1,False
cx07793,1956-07-12,st15,cg2,True
cx12793,1958-05-20,st15,cg2,True
cx35426,1962-06-17,st25,cg2,False
cx25512,1950-01-26,st25,cg1,False
cx24555,1945-05-21,st25,cg1,False
cx18671,1947-09-20,st25,cg1,False
cx12302,1963-02-12,st15,cg2,False
cx15987,1970-05-11,st25,cg1,False
cx38433,1953-12-22,st25,cg1,True
cx00687,1959-09-23,st15,cg1,False
cx28169,1949-04-06,st15,cg1,False
cx01671,1969-12-11,st15,cg1,False
cx25041,1958-07-20,st15,cg2,False
cx34276,1954-11-27,st15,cg2,False
cx24614,1980-01-01,st26,cg2,False
cx10262,1958-05-23,st25,cg1,False
cx22330,1965-01-11,st25,cg1,False
cx24232,1959-04-18,st25,cg1,False
cx06419,1954-09-07,st15,cg1,False
cx01698,1939-09-13,st15,cg1,False
