product_id,category_lv0,category_lv1,category_lv2,category_lv3,category_lv4
px01237,mk38,mk38:072,mk38:072:149,mk38:072:149:218,mk38:072:149:218:04846
px11510,mk38,mk38:072,mk38:072:149,mk38:072:149:218,mk38:072:149:218:01337
px03782,mk38,mk38:072,mk38:072:019,mk38:072:019:066,mk38:072:019:066:02321
px04092,mk38,mk38:072,mk38:072:019,mk38:072:019:054,mk38:072:019:054:06035
px07429,mk38,mk38:072,mk38:072:078,mk38:072:078:182,mk38:072:078:182:07218
px03014,mk38,mk38:072,mk38:072:322,mk38:072:322:193,mk38:072:322:193:04465
px05392,mk38,mk38:072,mk38:072:081,mk38:072:081:159,mk38:072:081:159:10625
px12066,mk38,mk38:072,mk38:072:322,mk38:072:322:193,mk38:072:322:193:07766
px05097,mk38,mk38:222,mk38:222:416,mk38:222:416:182,mk38:222:416:182:00680
px00625,mk35,mk35:072,mk35:072:149,mk35:072:149:182,mk35:072:149:182:07253
px01898,mk35,mk35:072,mk35:072:149,mk35:072:149:182,mk35:072:149:182:07521
px06203,mk35,mk35:072,mk35:072:149,mk35:072:149:182,mk35:072:149:182:10546
px12424,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:05033
px04503,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:07810
px08856,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:03315
px06292,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:01514
px07218,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:01514
px04413,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:09348
px00248,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:07578
px05026,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:07578
px11340,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:09065
px11218,mk35,mk35:222,mk35:222:533,mk35:222:533:182,mk35:222:533:182:01355
px08751,mk35,mk35:222,mk35:222:533,mk35:222:533:182,mk35:222:533:182:07925
px04992,mk35,mk35:072,mk35:072:113,mk35:072:113:182,mk35:072:113:182:01934
px10309,mk35,mk35:072,mk35:072:113,mk35:072:113:182,mk35:072:113:182:04411
px08016,mk35,mk35:072,mk35:072:113,mk35:072:113:182,mk35:072:113:182:07765
px09537,mk35,mk35:072,mk35:072:113,mk35:072:113:182,mk35:072:113:182:01217
px09177,mk05,mk05:072,mk05:072:149,mk05:072:149:241,mk05:072:149:241:05392
px07223,mk05,mk05:072,mk05:072:149,mk05:072:149:241,mk05:072:149:241:05816
px09444,mk05,mk05:072,mk05:072:184,mk05:072:184:241,mk05:072:184:241:02507
px10462,mk05,mk05:072,mk05:072:322,mk05:072:322:182,mk05:072:322:182:01838
px10951,mk05,mk05:072,mk05:072:362,mk05:072:362:241,mk05:072:362:241:06021
px03527,mk27,mk27:112,mk27:112:405,mk27:112:405:103,mk27:112:405:103:01127
px04321,mk25,mk25:185,mk25:185:513,mk25:185:513:103,mk25:185:513:103:00269
px00358,mk27,mk27:112,mk27:112:125,mk27:112:125:150,mk27:112:125:150:08170
px10671,mk04,mk04:187,mk04:187:187,mk04:187:187:103,mk04:187:187:103:02554
px10595,mk04,mk04:187,mk04:187:083,mk04:187:083:103,mk04:187:083:103:00733
px09888,mk04,mk04:187,mk04:187:103,mk04:187:103:103,mk04:187:103:103:06278
px04973,mk04,mk04:187,mk04:187:187,mk04:187:187:103,mk04:187:187:103:09364
px03985,mk04,mk04:187,mk04:187:092,mk04:187:092:103,mk04:187:092:103:02663
px08937,mk04,mk04:187,mk04:187:187,mk04:187:187:103,mk04:187:187:103:01749
px02544,mk04,mk04:187,mk04:187:063,mk04:187:063:103,mk04:187:063:103:05247
px11526,mk04,mk04:187,mk04:187:092,mk04:187:092:103,mk04:187:092:103:06253
px11971,mk04,mk04:128,mk04:128:103,mk04:128:103:103,mk04:128:103:103:07693
px09248,mk38,mk38:072,mk38:072:149,mk38:072:149:218,mk38:072:149:218:04723
px06499,mk04,mk04:121,mk04:121:103,mk04:121:103:103,mk04:121:103:103:03839
px05675,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:07547
px12509,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:09065
px11205,mk04,mk04:104,mk04:104:398,mk04:104:398:103,mk04:104:398:103:09157
px09083,mk35,mk35:072,mk35:072:184,mk35:072:184:182,mk35:072:184:182:01277
px08850,mk35,mk35:072,mk35:072:518,mk35:072:518:182,mk35:072:518:182:04228
px09282,mk38,mk38:072,mk38:072:078,mk38:072:078:218,mk38:072:078:218:01291
px07654,mk38,mk38:072,mk38:072:078,mk38:072:078:193,mk38:072:078:193:01196
